participant_id,program,age_group,community,early_engagement,mid_engagement,late_engagement,engagement_slope,engagement_volatility,trajectory_label,reversal_risk_label,early_warning_label,baseline_habit_strength,convenience,social_norm,environmental_fit,motivation,competing_demands,habit_persistence,feedback_visibility,incentive_strength,support_quality,life_event_week,trajectory_cluster
155,fitness,26-40,rural,0.752,0.79,0.492,-0.0152,0.129,faded,1,0,0.475,0.752,0.676,0.427,0.367,0.568,0.42,0.734,0.733,0.924,14,2
156,recycling,60+,urban,0.762,0.804,0.601,-0.0092,0.09,sustained,0,0,0.466,0.615,0.857,0.387,0.722,0.457,0.61,0.36,0.711,0.602,0,3
157,public_transport,41-60,urban,0.645,0.745,0.609,-0.0023,0.079,sustained,0,0,0.212,0.969,0.268,0.765,0.672,0.703,0.404,0.399,0.498,0.513,0,3
158,recycling,26-40,urban,0.926,0.889,0.675,-0.0141,0.101,sustained,0,0,0.983,0.793,0.514,0.809,0.67,0.235,0.453,0.546,0.249,0.443,0,0
159,digital_wellbeing,18-25,urban,0.765,0.819,0.691,-0.0047,0.063,sustained,0,0,0.469,0.946,0.448,0.571,0.756,0.46,0.562,0.362,0.5,0.431,0,0
160,recycling,18-25,urban,0.735,0.779,0.493,-0.0138,0.123,faded,1,0,0.415,0.35,0.745,0.708,0.633,0.158,0.517,0.32,0.288,0.225,0,2
161,healthy_eating,18-25,urban,0.909,0.864,0.705,-0.0115,0.081,sustained,0,0,0.948,0.709,0.814,0.628,0.636,0.232,0.87,0.675,0.911,0.612,0,0
162,healthy_eating,41-60,suburban,0.856,0.847,0.59,-0.0155,0.115,faded,1,0,0.764,0.453,0.464,0.71,0.568,0.251,0.721,0.927,0.755,0.632,0,2
163,public_transport,26-40,suburban,0.782,0.795,0.556,-0.0129,0.102,sustained,0,0,0.611,0.819,0.345,0.749,0.67,0.361,0.937,0.766,0.425,0.517,7,2
164,fitness,41-60,rural,0.568,0.562,0.371,-0.0117,0.091,reverted,1,0,0.377,0.23,0.852,0.542,0.231,0.659,0.776,0.402,0.494,0.099,0,1
165,recycling,26-40,urban,0.67,0.776,0.51,-0.0094,0.111,inconsistent,0,0,0.255,0.861,0.727,0.323,0.82,0.741,0.963,0.382,0.619,0.684,16,3
166,public_transport,18-25,urban,0.832,0.791,0.662,-0.0093,0.068,sustained,0,0,0.754,0.767,0.269,0.849,0.726,0.478,0.29,0.884,0.617,0.112,0,0
167,fitness,18-25,urban,0.836,0.863,0.763,-0.0044,0.049,sustained,0,0,0.624,0.548,0.553,0.621,0.42,0.008,0.42,0.808,0.351,0.695,8,0
168,public_transport,18-25,rural,0.921,0.872,0.655,-0.0152,0.108,faded,1,0,0.944,0.939,0.882,0.283,0.848,0.723,0.37,0.253,0.762,0.76,0,2
169,public_transport,26-40,urban,0.763,0.834,0.656,-0.0062,0.083,sustained,0,0,0.421,0.623,0.545,0.714,0.668,0.51,0.766,0.732,0.733,0.708,0,0
170,digital_wellbeing,60+,suburban,0.738,0.762,0.529,-0.0122,0.104,faded,1,0,0.473,0.73,0.563,0.527,0.47,0.819,0.342,0.066,0.865,0.94,8,2
171,healthy_eating,41-60,suburban,0.68,0.732,0.476,-0.0118,0.115,faded,1,0,0.258,0.253,0.477,0.392,0.698,0.577,0.802,0.408,0.753,0.644,0,3
172,public_transport,26-40,suburban,0.811,0.798,0.51,-0.0171,0.128,faded,1,0,0.693,0.885,0.189,0.752,0.364,0.686,0.825,0.798,0.707,0.957,0,2
173,recycling,41-60,urban,0.725,0.802,0.674,-0.0032,0.069,sustained,0,0,0.337,0.782,0.811,0.114,0.146,0.24,0.354,0.576,0.61,0.559,0,0
174,public_transport,26-40,suburban,0.804,0.899,0.756,-0.0029,0.072,sustained,0,0,0.453,0.77,0.671,0.895,0.767,0.615,0.25,0.746,0.743,0.726,18,0
175,healthy_eating,26-40,urban,0.764,0.695,0.518,-0.0141,0.101,faded,1,0,0.751,0.559,0.775,0.505,0.555,0.656,0.729,0.348,0.64,0.481,15,2
176,digital_wellbeing,18-25,suburban,0.712,0.808,0.559,-0.0088,0.106,sustained,0,0,0.336,0.623,0.183,0.743,0.808,0.782,0.373,0.91,0.144,0.546,17,3
177,recycling,26-40,suburban,0.733,0.76,0.458,-0.0161,0.126,faded,1,0,0.613,0.769,0.264,0.68,0.427,0.51,0.829,0.541,0.12,0.753,0,2
178,recycling,26-40,suburban,0.832,0.845,0.7,-0.0076,0.065,sustained,0,0,0.688,0.987,0.799,0.569,0.264,0.469,0.491,0.883,0.676,0.805,0,0
179,digital_wellbeing,26-40,rural,0.705,0.891,0.798,0.0049,0.107,sustained,0,0,0.089,0.374,0.815,0.646,0.79,0.297,0.235,0.84,0.321,0.33,0,0
180,recycling,18-25,urban,0.871,0.817,0.595,-0.0157,0.111,faded,1,0,0.88,0.799,0.749,0.242,0.537,0.702,0.256,0.746,0.754,0.467,0,2
181,fitness,18-25,urban,0.81,0.829,0.723,-0.0048,0.049,sustained,0,0,0.616,0.76,0.581,0.782,0.405,0.41,0.562,0.605,0.523,0.413,0,0
182,public_transport,41-60,suburban,0.877,0.889,0.762,-0.0065,0.055,sustained,0,0,0.741,0.552,0.461,0.414,0.828,0.361,0.374,0.723,0.958,0.795,0,0
183,public_transport,18-25,suburban,0.572,0.699,0.45,-0.0073,0.117,inconsistent,0,0,0.046,0.509,0.606,0.509,0.613,0.274,0.837,0.303,0.528,0.365,0,3
184,recycling,26-40,urban,0.762,0.846,0.673,-0.0056,0.083,sustained,0,0,0.382,0.961,0.389,0.739,0.827,0.333,0.921,0.954,0.35,0.526,0,0
185,healthy_eating,18-25,suburban,0.74,0.843,0.745,0.0003,0.08,sustained,0,0,0.257,0.397,0.231,0.91,0.942,0.485,0.258,0.502,0.411,0.912,0,0
186,healthy_eating,60+,rural,0.729,0.728,0.454,-0.0156,0.123,faded,1,0,0.52,0.65,0.549,0.696,0.565,0.966,0.582,0.73,0.581,0.743,0,2
187,healthy_eating,26-40,suburban,0.814,0.831,0.692,-0.0068,0.067,sustained,0,0,0.58,0.875,0.948,0.36,0.537,0.269,0.614,0.562,0.529,0.696,9,0
188,recycling,41-60,urban,0.712,0.73,0.566,-0.0084,0.073,sustained,0,0,0.517,0.064,0.708,0.854,0.536,0.121,0.601,0.144,0.469,0.699,17,3
189,healthy_eating,26-40,rural,0.79,0.783,0.646,-0.0083,0.066,sustained,0,0,0.658,0.598,0.202,0.856,0.823,0.527,0.559,0.345,0.803,0.281,0,0
190,healthy_eating,41-60,rural,0.764,0.736,0.514,-0.0144,0.104,faded,1,0,0.787,0.48,0.514,0.464,0.659,0.724,0.806,0.112,0.485,0.527,0,2
191,healthy_eating,26-40,urban,0.628,0.737,0.443,-0.0111,0.125,faded,1,0,0.158,0.657,0.737,0.436,0.363,0.72,0.325,0.765,0.618,0.355,15,1
192,recycling,26-40,rural,0.779,0.796,0.577,-0.0117,0.097,sustained,0,0,0.549,0.682,0.341,0.507,0.658,0.582,0.514,0.435,0.679,0.353,0,2
193,recycling,41-60,urban,0.716,0.746,0.453,-0.0152,0.128,faded,1,0,0.406,0.668,0.277,0.577,0.28,0.309,0.73,0.863,0.634,0.315,0,2
194,healthy_eating,41-60,urban,0.861,0.881,0.692,-0.01,0.083,sustained,0,0,0.691,0.931,0.608,0.223,0.69,0.393,0.178,0.267,0.977,0.788,0,0
195,recycling,18-25,urban,0.699,0.762,0.489,-0.0119,0.113,faded,1,0,0.367,0.728,0.883,0.642,0.5,0.672,0.561,0.403,0.631,0.78,0,2
196,healthy_eating,41-60,rural,0.704,0.653,0.346,-0.0207,0.148,reverted,1,0,0.636,0.684,0.482,0.198,0.6,0.502,0.626,0.218,0.56,0.715,0,1
197,digital_wellbeing,41-60,urban,0.808,0.767,0.425,-0.0219,0.157,faded,1,0,0.824,0.902,0.366,0.426,0.833,0.315,0.752,0.078,0.393,0.351,13,2
198,healthy_eating,41-60,suburban,0.709,0.603,0.444,-0.0147,0.104,faded,1,1,0.787,0.313,0.08,0.409,0.304,0.626,0.451,0.37,0.59,0.646,0,1
199,fitness,60+,suburban,0.683,0.666,0.298,-0.0223,0.164,reverted,1,0,0.618,0.397,0.402,0.545,0.558,0.564,0.978,0.476,0.662,0.783,11,1
200,recycling,26-40,urban,0.767,0.871,0.787,0.0006,0.063,sustained,0,0,0.401,0.58,0.566,0.855,0.852,0.37,0.996,0.624,0.496,0.742,0,0
201,fitness,41-60,suburban,0.834,0.843,0.604,-0.013,0.104,sustained,0,0,0.65,0.628,0.866,0.807,0.208,0.128,0.332,0.932,0.741,0.617,0,2
202,recycling,18-25,rural,0.711,0.803,0.585,-0.0074,0.107,sustained,0,0,0.197,0.648,0.852,0.599,0.614,0.885,0.623,0.7,0.947,0.51,7,3
203,healthy_eating,26-40,urban,0.735,0.813,0.67,-0.004,0.066,sustained,0,0,0.422,0.398,0.761,0.391,0.526,0.309,0.35,0.474,0.326,0.961,0,0
204,public_transport,26-40,rural,0.696,0.712,0.57,-0.0074,0.07,sustained,0,0,0.445,0.874,0.458,0.712,0.155,0.496,0.722,0.467,0.225,0.803,10,3
205,public_transport,26-40,urban,0.614,0.512,0.292,-0.0182,0.127,reverted,1,1,0.756,0.362,0.708,0.241,0.153,0.801,0.713,0.339,0.537,0.594,21,1
206,digital_wellbeing,60+,suburban,0.793,0.797,0.656,-0.0078,0.065,sustained,0,0,0.648,0.42,0.341,0.543,0.703,0.251,0.71,0.619,0.813,0.456,0,0
207,public_transport,18-25,rural,0.825,0.891,0.834,0.0004,0.042,sustained,0,0,0.588,0.822,0.603,0.56,0.873,0.371,0.61,0.867,0.398,0.509,0,0
208,fitness,18-25,rural,0.837,0.821,0.552,-0.0161,0.12,faded,1,0,0.71,0.891,0.909,0.361,0.902,0.421,0.9,0.438,0.871,0.458,0,2
209,digital_wellbeing,60+,rural,0.671,0.673,0.322,-0.02,0.154,reverted,1,0,0.421,0.88,0.313,0.201,0.28,0.387,0.73,0.141,0.78,0.683,0,1
210,healthy_eating,18-25,suburban,0.72,0.72,0.493,-0.0128,0.102,faded,1,0,0.47,0.457,0.645,0.859,0.601,0.527,0.887,0.342,0.614,0.536,0,2
211,healthy_eating,26-40,suburban,0.657,0.724,0.5,-0.009,0.102,inconsistent,0,0,0.262,0.594,0.055,0.71,0.287,0.43,0.33,0.145,0.853,0.724,0,3
212,digital_wellbeing,60+,rural,0.573,0.653,0.428,-0.0089,0.101,inconsistent,0,0,0.153,0.602,0.886,0.196,0.222,0.734,0.583,0.603,0.606,0.502,15,1
213,digital_wellbeing,26-40,urban,0.76,0.831,0.541,-0.0126,0.12,faded,1,0,0.411,0.673,0.385,0.641,0.651,0.669,0.676,0.684,0.843,0.547,0,2
214,fitness,60+,rural,0.803,0.874,0.719,-0.005,0.07,sustained,0,0,0.519,0.663,0.223,0.74,0.738,0.243,0.36,0.871,0.195,0.411,0,0
215,fitness,26-40,suburban,0.77,0.871,0.639,-0.0078,0.104,sustained,0,0,0.332,0.315,0.402,0.804,0.935,0.394,0.316,0.528,0.643,0.89,12,0
216,recycling,26-40,suburban,0.77,0.746,0.533,-0.0134,0.099,faded,1,0,0.698,0.552,0.841,0.195,0.464,0.645,0.493,0.591,0.345,0.904,0,2
217,fitness,18-25,urban,0.632,0.598,0.477,-0.009,0.068,inconsistent,0,0,0.564,0.344,0.339,0.393,0.541,0.53,0.834,0.204,0.643,0.515,0,3
218,recycling,18-25,urban,0.712,0.691,0.427,-0.0167,0.122,faded,1,0,0.633,0.76,0.257,0.677,0.342,0.508,0.907,0.646,0.443,0.324,0,1
219,healthy_eating,26-40,suburban,0.758,0.669,0.336,-0.0239,0.168,reverted,1,1,0.914,0.327,0.268,0.62,0.35,0.491,0.625,0.339,0.678,0.914,0,1
220,recycling,26-40,suburban,0.804,0.865,0.683,-0.0073,0.076,sustained,0,0,0.565,0.568,0.699,0.666,0.832,0.435,0.714,0.535,0.538,0.564,0,0
221,public_transport,26-40,urban,0.783,0.669,0.466,-0.0179,0.126,faded,1,1,0.827,0.666,0.856,0.534,0.332,0.932,0.496,0.091,0.546,0.792,7,2
222,public_transport,41-60,rural,0.686,0.701,0.435,-0.014,0.114,faded,1,0,0.48,0.749,0.076,0.693,0.242,0.379,0.327,0.75,0.238,0.388,0,1
223,digital_wellbeing,26-40,suburban,0.695,0.696,0.488,-0.0122,0.097,faded,1,0,0.503,0.572,0.709,0.438,0.432,0.752,0.855,0.326,0.85,0.476,0,3
224,recycling,26-40,urban,0.753,0.853,0.707,-0.0031,0.08,sustained,0,0,0.306,0.576,0.637,0.746,0.749,0.254,0.88,0.559,0.79,0.922,0,0
225,digital_wellbeing,60+,urban,0.779,0.814,0.714,-0.0039,0.047,sustained,0,0,0.553,0.595,0.624,0.195,0.851,0.25,0.669,0.829,0.644,0.238,0,0
226,public_transport,18-25,rural,0.782,0.831,0.686,-0.0055,0.066,sustained,0,0,0.514,0.248,0.913,0.672,0.711,0.387,0.498,0.935,0.665,0.66,0,0
227,public_transport,60+,suburban,0.746,0.702,0.407,-0.0195,0.14,reverted,1,0,0.633,0.333,0.66,0.357,0.145,0.097,0.729,0.724,0.862,0.804,0,2
228,fitness,18-25,suburban,0.82,0.855,0.668,-0.0087,0.082,sustained,0,0,0.557,0.292,0.608,0.374,0.947,0.163,0.453,0.773,0.58,0.269,0,0
229,healthy_eating,26-40,urban,0.729,0.825,0.547,-0.0102,0.118,faded,1,0,0.309,0.63,0.544,0.783,0.444,0.396,0.431,0.724,0.581,0.762,0,2
230,digital_wellbeing,18-25,urban,0.608,0.689,0.415,-0.0116,0.12,reverted,1,0,0.204,0.307,0.765,0.713,0.199,0.427,0.599,0.32,0.691,0.437,0,1
231,public_transport,18-25,suburban,0.801,0.806,0.574,-0.0132,0.103,sustained,0,0,0.646,0.506,0.761,0.801,0.644,0.762,0.868,0.968,0.511,0.647,10,2
232,fitness,60+,rural,0.624,0.718,0.512,-0.0069,0.091,inconsistent,0,0,0.242,0.208,0.49,0.341,0.784,0.249,0.652,0.332,0.383,0.657,12,3
233,fitness,41-60,urban,0.68,0.728,0.552,-0.0076,0.085,sustained,0,0,0.342,0.888,0.451,0.656,0.275,0.644,0.746,0.38,0.972,0.626,0,3
234,public_transport,60+,rural,0.768,0.778,0.469,-0.017,0.13,faded,1,0,0.633,0.409,0.689,0.291,0.639,0.071,0.853,0.486,0.439,0.401,0,2
235,public_transport,26-40,rural,0.699,0.776,0.523,-0.0097,0.107,inconsistent,0,0,0.306,0.557,0.279,0.952,0.254,0.388,0.368,0.465,0.665,0.825,0,3
236,digital_wellbeing,26-40,urban,0.841,0.871,0.7,-0.008,0.07,sustained,0,0,0.702,0.703,0.726,0.954,0.727,0.497,0.406,0.509,0.232,0.754,13,0
237,public_transport,60+,urban,0.805,0.837,0.591,-0.0121,0.104,sustained,0,0,0.576,0.901,0.513,0.712,0.482,0.679,0.507,0.858,0.516,0.554,0,2
238,healthy_eating,41-60,urban,0.785,0.775,0.582,-0.0115,0.09,sustained,0,0,0.642,0.759,0.572,0.499,0.295,0.442,0.924,0.499,0.759,0.594,0,2
239,recycling,26-40,urban,0.712,0.765,0.58,-0.0075,0.086,sustained,0,0,0.363,0.295,0.693,0.404,0.841,0.473,0.426,0.24,0.632,0.729,0,3
240,digital_wellbeing,18-25,urban,0.835,0.74,0.573,-0.0146,0.103,sustained,0,1,0.941,0.776,0.644,0.324,0.687,0.563,0.923,0.553,0.755,0.308,0,2
241,fitness,60+,suburban,0.585,0.648,0.526,-0.0031,0.066,inconsistent,0,0,0.254,0.438,0.133,0.722,0.424,0.321,0.317,0.29,0.192,0.171,0,3
242,public_transport,18-25,urban,0.67,0.73,0.485,-0.0111,0.115,faded,1,0,0.225,0.946,0.042,0.565,0.392,0.681,0.509,0.802,0.879,0.767,11,3
243,recycling,26-40,rural,0.703,0.73,0.503,-0.0114,0.094,faded,1,0,0.533,0.921,0.596,0.599,0.142,0.224,0.939,0.449,0.216,0.746,20,3
244,healthy_eating,18-25,urban,0.763,0.761,0.411,-0.0199,0.152,reverted,1,0,0.596,0.597,0.873,0.274,0.784,0.572,0.739,0.275,0.685,0.703,18,2
245,digital_wellbeing,18-25,suburban,0.838,0.799,0.661,-0.0098,0.071,sustained,0,0,0.783,0.583,0.316,0.968,0.616,0.391,0.44,0.589,0.738,0.39,11,0
246,recycling,26-40,suburban,0.701,0.779,0.524,-0.0106,0.107,inconsistent,0,0,0.335,0.154,0.483,0.224,0.658,0.197,0.576,0.417,0.838,0.596,0,3
247,healthy_eating,18-25,suburban,0.722,0.808,0.618,-0.0063,0.095,sustained,0,0,0.282,0.498,0.761,0.854,0.702,0.348,0.681,0.814,0.809,0.622,9,3
248,public_transport,60+,rural,0.803,0.818,0.652,-0.0084,0.075,sustained,0,0,0.598,0.665,0.776,0.717,0.497,0.505,0.491,0.576,0.583,0.891,0,0
249,digital_wellbeing,18-25,suburban,0.731,0.763,0.534,-0.0116,0.102,faded,1,0,0.494,0.369,0.504,0.16,0.857,0.354,0.514,0.748,0.53,0.507,0,2
250,fitness,41-60,suburban,0.652,0.708,0.602,-0.0025,0.071,sustained,0,0,0.222,0.678,0.692,0.707,0.512,0.525,0.849,0.387,0.657,0.449,0,3
251,fitness,18-25,urban,0.799,0.87,0.777,-0.0013,0.051,sustained,0,0,0.518,0.91,0.85,0.081,0.698,0.132,0.842,0.645,0.313,0.632,0,0
252,fitness,60+,suburban,0.746,0.77,0.587,-0.0094,0.077,sustained,0,0,0.604,0.456,0.745,0.784,0.745,0.801,0.788,0.586,0.524,0.645,0,3
253,healthy_eating,18-25,rural,0.826,0.839,0.622,-0.0117,0.094,sustained,0,0,0.646,0.554,0.299,0.247,0.551,0.353,0.105,0.341,0.903,0.583,0,0
254,healthy_eating,26-40,rural,0.566,0.644,0.367,-0.012,0.118,reverted,1,0,0.244,0.071,0.659,0.476,0.31,0.462,0.725,0.745,0.284,0.446,0,1
255,digital_wellbeing,26-40,urban,0.885,0.854,0.675,-0.012,0.087,sustained,0,0,0.86,0.594,0.755,0.45,0.519,0.383,0.243,0.683,0.786,0.489,0,0
256,fitness,26-40,rural,0.702,0.706,0.45,-0.0145,0.117,faded,1,0,0.48,0.634,0.325,0.352,0.533,0.446,0.419,0.816,0.43,0.492,0,2
257,digital_wellbeing,41-60,suburban,0.719,0.795,0.594,-0.0076,0.091,sustained,0,0,0.342,0.552,0.527,0.588,0.64,0.324,0.696,0.651,0.803,0.431,0,3
258,healthy_eating,18-25,suburban,0.668,0.749,0.485,-0.0108,0.109,faded,1,0,0.316,0.554,0.723,0.358,0.767,0.249,0.743,0.283,0.261,0.522,21,3
259,recycling,26-40,rural,0.681,0.847,0.685,-0.0003,0.105,sustained,0,0,0.07,0.606,0.213,0.813,0.513,0.237,0.744,0.679,0.598,0.639,11,3
260,digital_wellbeing,26-40,urban,0.892,0.871,0.717,-0.01,0.073,sustained,0,0,0.842,0.85,0.279,0.728,0.849,0.467,0.51,0.355,0.771,0.755,0,0
261,recycling,26-40,urban,0.775,0.838,0.615,-0.0093,0.096,sustained,0,0,0.444,0.424,0.754,0.658,0.76,0.524,0.394,0.319,0.7,0.639,0,0
262,digital_wellbeing,26-40,rural,0.706,0.826,0.696,-0.0007,0.084,sustained,0,0,0.232,0.625,0.768,0.53,0.6,0.347,0.663,0.44,0.541,0.735,0,0
263,fitness,18-25,rural,0.628,0.599,0.317,-0.0182,0.132,reverted,1,0,0.691,0.946,0.448,0.467,0.413,0.565,0.864,0.434,0.158,0.518,0,1
264,recycling,18-25,rural,0.623,0.757,0.544,-0.0049,0.109,inconsistent,0,0,0.028,0.913,0.428,0.159,0.406,0.378,0.581,0.366,0.723,0.845,0,3
265,public_transport,26-40,urban,0.773,0.834,0.701,-0.004,0.065,sustained,0,0,0.442,0.703,0.165,0.491,0.69,0.038,0.457,0.577,0.662,0.399,0,0
266,recycling,26-40,rural,0.744,0.752,0.44,-0.0175,0.135,faded,1,0,0.661,0.407,0.591,0.511,0.702,0.191,0.719,0.235,0.301,0.738,0,2
267,digital_wellbeing,60+,urban,0.767,0.781,0.62,-0.009,0.07,sustained,0,0,0.708,0.718,0.178,0.514,0.765,0.645,0.714,0.453,0.375,0.551,13,0
268,public_transport,26-40,suburban,0.815,0.739,0.541,-0.0157,0.111,faded,1,1,0.85,0.48,0.859,0.661,0.403,0.506,0.735,0.52,0.743,0.702,0,2
269,digital_wellbeing,41-60,urban,0.808,0.91,0.752,-0.0035,0.079,sustained,0,0,0.414,0.658,0.707,0.726,0.731,0.148,0.608,0.742,0.756,0.926,0,0
270,healthy_eating,26-40,urban,0.681,0.676,0.41,-0.016,0.122,reverted,1,0,0.482,0.685,0.698,0.299,0.327,0.768,0.528,0.314,0.891,0.714,14,1
271,healthy_eating,18-25,urban,0.739,0.787,0.598,-0.0082,0.081,sustained,0,0,0.465,0.676,0.47,0.119,0.798,0.503,0.535,0.677,0.806,0.505,0,3
272,digital_wellbeing,41-60,urban,0.821,0.847,0.667,-0.0089,0.077,sustained,0,0,0.625,0.947,0.25,0.562,0.71,0.501,0.667,0.553,0.454,0.521,10,0
273,digital_wellbeing,26-40,suburban,0.768,0.824,0.662,-0.0058,0.069,sustained,0,0,0.495,0.51,0.356,0.742,0.961,0.652,0.282,0.584,0.379,0.602,0,0
274,recycling,26-40,suburban,0.75,0.845,0.739,-0.0009,0.071,sustained,0,0,0.31,0.598,0.457,0.503,0.742,0.702,0.231,0.765,0.861,0.691,8,0
275,digital_wellbeing,26-40,suburban,0.774,0.797,0.634,-0.0083,0.074,sustained,0,0,0.558,0.771,0.29,0.328,0.882,0.724,0.162,0.131,0.806,0.448,14,0
276,healthy_eating,60+,urban,0.603,0.731,0.409,-0.0115,0.138,reverted,1,0,0.109,0.255,0.291,0.369,0.746,0.552,0.135,0.078,0.579,0.477,18,1
277,fitness,41-60,suburban,0.649,0.755,0.539,-0.0069,0.094,inconsistent,0,0,0.214,0.71,0.534,0.894,0.139,0.32,0.518,0.552,0.337,0.576,0,3
278,digital_wellbeing,18-25,suburban,0.678,0.629,0.292,-0.0222,0.161,reverted,1,0,0.558,0.68,0.517,0.447,0.245,0.576,0.97,0.413,0.611,0.812,11,1
279,recycling,41-60,rural,0.696,0.754,0.49,-0.0115,0.11,faded,1,0,0.335,0.825,0.235,0.894,0.403,0.623,0.61,0.71,0.332,0.466,20,3
280,recycling,18-25,suburban,0.838,0.796,0.576,-0.0153,0.11,faded,1,0,0.838,0.481,0.631,0.669,0.622,0.279,0.72,0.667,0.522,0.402,11,2
281,digital_wellbeing,18-25,rural,0.819,0.882,0.795,-0.0014,0.05,sustained,0,0,0.568,0.757,0.775,0.556,0.587,0.341,0.418,0.73,0.561,0.49,20,0
282,healthy_eating,26-40,rural,0.729,0.821,0.667,-0.0039,0.076,sustained,0,0,0.381,0.934,0.642,0.531,0.273,0.369,0.284,0.364,0.3,0.891,0,0
283,recycling,26-40,suburban,0.79,0.801,0.659,-0.0071,0.065,sustained,0,0,0.605,0.507,0.337,0.832,0.322,0.272,0.769,0.809,0.564,0.65,18,0
284,digital_wellbeing,60+,suburban,0.603,0.719,0.48,-0.0074,0.107,inconsistent,0,0,0.168,0.97,0.793,0.251,0.555,0.651,0.791,0.808,0.225,0.443,0,3
285,fitness,60+,suburban,0.724,0.887,0.814,0.0045,0.094,sustained,0,0,0.188,0.68,0.425,0.93,0.94,0.32,0.498,0.472,0.518,0.465,0,0
286,healthy_eating,18-25,rural,0.825,0.774,0.522,-0.0172,0.123,faded,1,0,0.766,0.87,0.63,0.587,0.813,0.719,0.768,0.304,0.366,0.444,9,2
287,fitness,26-40,urban,0.871,0.885,0.768,-0.0059,0.052,sustained,0,0,0.737,0.377,0.876,0.927,0.856,0.407,0.388,0.624,0.795,0.442,0,0
288,public_transport,41-60,rural,0.669,0.63,0.362,-0.0176,0.128,reverted,1,0,0.593,0.169,0.505,0.87,0.442,0.208,0.826,0.427,0.696,0.255,0,1
289,recycling,26-40,suburban,0.823,0.787,0.583,-0.014,0.1,sustained,0,0,0.836,0.299,0.595,0.688,0.592,0.264,0.289,0.13,0.276,0.448,0,2
290,public_transport,18-25,urban,0.697,0.805,0.601,-0.0057,0.092,sustained,0,0,0.286,0.792,0.584,0.109,0.662,0.222,0.504,0.564,0.258,0.247,9,3
291,recycling,41-60,suburban,0.795,0.868,0.658,-0.0082,0.09,sustained,0,0,0.508,0.59,0.304,0.828,0.541,0.348,0.421,0.776,0.759,0.534,16,0
292,recycling,18-25,suburban,0.822,0.797,0.651,-0.0099,0.071,sustained,0,0,0.823,0.684,0.768,0.722,0.684,0.512,0.692,0.511,0.536,0.188,0,0
293,recycling,60+,urban,0.653,0.618,0.44,-0.0123,0.09,faded,1,0,0.57,0.485,0.021,0.477,0.582,0.427,0.78,0.295,0.569,0.641,0,1
294,healthy_eating,26-40,urban,0.717,0.722,0.453,-0.0152,0.12,faded,1,0,0.509,0.123,0.28,0.632,0.835,0.307,0.55,0.416,0.546,0.592,0,2
295,fitness,60+,suburban,0.79,0.777,0.459,-0.0188,0.14,faded,1,0,0.64,0.492,0.714,0.261,0.798,0.521,0.532,0.52,0.613,0.386,0,2
296,fitness,18-25,rural,0.78,0.807,0.625,-0.0087,0.081,sustained,0,0,0.523,0.844,0.568,0.186,0.772,0.737,0.552,0.513,0.792,0.539,0,0
297,public_transport,60+,rural,0.813,0.761,0.5,-0.0175,0.125,faded,1,0,0.801,0.74,0.778,0.333,0.323,0.311,0.944,0.598,0.498,0.309,17,2
298,fitness,18-25,suburban,0.817,0.835,0.619,-0.0114,0.094,sustained,0,0,0.644,0.596,0.514,0.742,0.829,0.395,0.914,0.853,0.326,0.979,11,0
299,healthy_eating,18-25,suburban,0.651,0.667,0.497,-0.0087,0.073,inconsistent,0,0,0.47,0.688,0.673,0.608,0.068,0.449,0.822,0.228,0.229,0.918,0,3
300,recycling,60+,urban,0.804,0.71,0.41,-0.0219,0.154,reverted,1,1,0.912,0.408,0.833,0.52,0.52,0.905,0.559,0.332,0.313,0.729,20,2
301,recycling,41-60,urban,0.726,0.838,0.679,-0.003,0.083,sustained,0,0,0.329,0.709,0.245,0.831,0.705,0.293,0.334,0.773,0.296,0.803,0,0
302,public_transport,18-25,urban,0.707,0.684,0.397,-0.0176,0.13,reverted,1,0,0.609,0.622,0.276,0.962,0.319,0.558,0.733,0.578,0.514,0.619,17,1
303,recycling,41-60,rural,0.729,0.746,0.585,-0.0082,0.07,sustained,0,0,0.581,0.39,0.413,0.552,0.723,0.188,0.877,0.332,0.447,0.316,0,3
304,digital_wellbeing,26-40,urban,0.763,0.786,0.668,-0.0057,0.055,sustained,0,0,0.567,0.893,0.434,0.686,0.356,0.655,0.905,0.63,0.76,0.431,0,0
305,digital_wellbeing,60+,suburban,0.742,0.799,0.641,-0.006,0.075,sustained,0,0,0.405,0.66,0.888,0.074,0.954,0.717,0.305,0.765,0.739,0.58,0,0
306,public_transport,60+,urban,0.68,0.668,0.427,-0.0146,0.108,faded,1,0,0.577,0.112,0.563,0.52,0.501,0.576,0.825,0.414,0.604,0.48,0,1
307,healthy_eating,18-25,urban,0.508,0.583,0.266,-0.0141,0.13,faded,1,0,0.156,0.37,0.283,0.383,0.573,0.892,0.559,0.455,0.409,0.734,0,1
308,recycling,60+,suburban,0.64,0.664,0.453,-0.0111,0.092,faded,1,0,0.426,0.749,0.837,0.925,0.008,0.5,0.953,0.06,0.541,0.497,13,3
309,digital_wellbeing,41-60,suburban,0.634,0.631,0.34,-0.0169,0.135,reverted,1,0,0.361,0.399,0.173,0.476,0.262,0.238,0.606,0.813,0.716,0.419,0,1
310,digital_wellbeing,41-60,urban,0.544,0.613,0.344,-0.0121,0.118,faded,1,0,0.156,0.437,0.348,0.311,0.514,0.668,0.665,0.427,0.866,0.414,0,1
